statute_number,section_title,popular_name,full_text_of_naming_clause,url
54-644,"Act, how cited.",Dog and Cat Purchase Protection Act,Sections 54-644 to 54-650 shall be known and may be cited as the Dog and Cat Purchase Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=54-644
"54-7,105","Act, how cited; purpose.",Exotic Animal Auction or Exchange Venue Act,"(1) Sections 54-7,105 to 54-7,109 shall be known and may be cited as the Exotic Animal Auction or Exchange Venue Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=54-7,105"
54-847,"Act, how cited.",Commercial Feed Act,Sections 54-847 to 54-863 shall be known and may be cited as the Commercial Feed Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=54-847
54-901,"Act, how cited.",Livestock Animal Welfare Act,Sections 54-901 to 54-913 shall be known and may be cited as the Livestock Animal Welfare Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=54-901
55-101,Military code; how cited.,Military Code,Sections 55-101 to 55-181 shall be known and may be cited as the Military Code.,https://nebraskalegislature.gov/laws/statutes.php?statute=55-101
55-105,"Militia; classes, defined.",Nebraska National Guard,"The active militia shall consist of the organized and uniformed military forces of the state, which shall be known as the Nebraska National Guard, which includes the Army National Guard and the Air National Guard.",https://nebraskalegislature.gov/laws/statutes.php?statute=55-105
55-201,Nebraska State Guard; when called into service; organization.,Nebraska State Guard,Such forces shall be additional to and distinct from the National Guard and shall be known as the Nebraska State Guard.,https://nebraskalegislature.gov/laws/statutes.php?statute=55-201
55-219,"Act, how cited.",State Guard Act,Sections 55-201 to 55-219 may be cited as the State Guard Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=55-219
55-401,"Code, how cited.",Nebraska Code of Military Justice,Sections 55-401 to 55-481 shall be known and may be cited as the Nebraska Code of Military Justice.,https://nebraskalegislature.gov/laws/statutes.php?statute=55-401
55-501,"Act, how cited.",Family Military Leave Act,Sections 55-501 to 55-507 shall be known and may be cited as the Family Military Leave Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=55-501
57-1401,"Act, how cited.",Major Oil Pipeline Siting Act,Sections 57-1401 to 57-1413 shall be known and may be cited as the Major Oil Pipeline Siting Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=57-1401
57-1601,"Act, how cited.",Nebraska Geologic Storage of Carbon Dioxide Act,Sections 57-1601 to 57-1624 shall be known and may be cited as the Nebraska Geologic Storage of Carbon Dioxide Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=57-1601
57-820,"Act, how cited.",Oil and Gas Lien Act,Sections 57-801 to 57-820 shall be known and may be cited as the Oil and Gas Lien Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=57-820
57-917,Commission; director; appointment; compensation; bond or insurance.,Director of the Nebraska Oil and Gas Conservation Commission,"To enable the commission to carry out its duties and powers under the laws of this state with respect to conservation of oil and gas and to enforce sections 57-901 to 57-921 and the rules and regulations so prescribed, the commission shall employ one chief administrator who shall not be a member of the commission and who shall be known as the Director of the Nebraska Oil and Gas Conservation Commission, and as such he or she shall be charged with the duty of administering and enforcing the provisions of sections 57-901 to 57-921 and all rules, regulations, and orders promulgated by the commission, subject to the direction of the commission.",https://nebraskalegislature.gov/laws/statutes.php?statute=57-917
58-201,"Act, how cited.",Nebraska Investment Finance Authority Act,Sections 58-201 to 58-273 shall be known and may be cited as the Nebraska Investment Finance Authority Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=58-201
58-501,"Act, how cited.",Nebraska Redevelopment Act,Sections 58-501 to 58-533 shall be known and may be cited as the Nebraska Redevelopment Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=58-501
58-701,"Act, how cited.",Nebraska Affordable Housing Act,Sections 58-701 to 58-712 shall be known and may be cited as the Nebraska Affordable Housing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=58-701
58-801,"Act, how cited.","Nebraska Educational, Health, Cultural","Sections 58-801 to 58-866 shall be known and may be cited as the Nebraska Educational, Health, Cultural, and Social Services Finance Authority Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=58-801
59-1401,"Act, how cited.",Music Licensing Agency Act,Sections 59-1401 to 59-1406 shall be known and may be cited as the Music Licensing Agency Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=59-1401
59-1501,"Act, how cited.",Unfair Cigarette Sales Act,Sections 59-1501 to 59-1518 shall be known and may be cited as the Unfair Cigarette Sales Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=59-1501
59-1623,"Act, how cited.",Consumer Protection Act,Sections 59-1601 to 59-1623 shall be known and may be cited as the Consumer Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=59-1623
59-1701.01,"Act, how cited.",Seller-Assisted Marketing Plan Act,Sections 59-1701 to 59-1762 shall be known and may be cited as the Seller-Assisted Marketing Plan Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=59-1701.01
59-1801,"Act, how cited.",Charitable Gift Annuity Act,Sections 59-1801 to 59-1803 shall be known and may be cited as the Charitable Gift Annuity Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=59-1801
60-101,"Act, how cited.",Motor Vehicle Certificate of Title Act,Sections 60-101 to 60-197 shall be known and may be cited as the Motor Vehicle Certificate of Title Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=60-101
60-1303,Weighing stations; portable scales; operation; carrier enforcement division; rules and regulations.,carrier enforcement division,"(2)(a) On and after July 20, 2002, officers of the Nebraska State Patrol appointed to operate the weighing stations and portable scales and to perform carrier enforcement duties shall be known as the carrier enforcement division.",https://nebraskalegislature.gov/laws/statutes.php?statute=60-1303
60-1401,"Act, how cited; applicability of amendments.",Motor Vehicle Industry Regulation Act,Sections 60-1401 to 60-1441 shall be known and may be cited as the Motor Vehicle Industry Regulation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=60-1401
60-2120,"Act, how cited.",Motorcycle Safety Education Act,Sections 60-2120 to 60-2139 shall be known and may be cited as the Motorcycle Safety Education Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=60-2120
60-2901,"Act, how cited.",Uniform Motor Vehicle Records Disclosure Act,Sections 60-2901 to 60-2912 shall be known and may be cited as the Uniform Motor Vehicle Records Disclosure Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=60-2901
"60-3,192","International Registration Plan Act; act, how cited.",International Registration Plan Act,"Sections 60-3,192 to 60-3,206 shall be known and may be cited as the International Registration Plan Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=60-3,192"
60-301,"Act, how cited.",Motor Vehicle Registration Act,"Sections 60-301 to 60-3,236 shall be known and may be cited as the Motor Vehicle Registration Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=60-301
60-3201,"Act, how cited.",Automatic License Plate Reader Privacy Act,Sections 60-3201 to 60-3209 shall be known and may be cited as the Automatic License Plate Reader Privacy Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=60-3201
60-3401,"Act, how cited.",Peer-to-Peer Vehicle Sharing Program Act,Sections 60-3401 to 60-3415 shall be known and may be cited as the Peer-to-Peer Vehicle Sharing Program Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=60-3401
60-462,"Act, how cited.",Motor Vehicle Operator's License Act,"Sections 60-462 to 60-4,189 shall be known and may be cited as the Motor Vehicle Operator's License Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=60-462
60-569,"Act, how cited.",Motor Vehicle Safety Responsibility Act,Sections 60-501 to 60-569 may be cited as the Motor Vehicle Safety Responsibility Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=60-569
"60-6,118",Manual on Uniform Traffic Control Devices; adoption by Department of Transportation.,Manual on Uniform Traffic Control Devices,"Consistent with the provisions of the Nebraska Rules of the Road, the Department of Transportation may adopt and promulgate rules and regulations adopting and implementing a manual providing a uniform system of traffic control devices on all highways within this state which, together with any supplements adopted by the department, shall be known as the Manual on Uniform Traffic Control Devices.","https://nebraskalegislature.gov/laws/statutes.php?statute=60-6,118"
60-601,"Rules, how cited.",Nebraska Rules of the Road,"Sections 60-601 to 60-6,383 shall be known and may be cited as the Nebraska Rules of the Road.",https://nebraskalegislature.gov/laws/statutes.php?statute=60-601
61-301,"Act, how cited.",Perkins County Canal Project Act,Sections 61-301 to 61-304 shall be known and may be cited as the Perkins County Canal Project Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=61-301
61-302,Legislative findings and declarations.,Perkins County Canal Project,"(2) The Legislature declares that a canal and associated storage facilities, which shall be known as the Perkins County Canal Project, shall be developed, constructed, managed, and operated under the authority of the State of Nebraska consistent with the South Platte River Compact and pursuant to the Perkins County Canal Project Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=61-302
61-401,"Act, how cited.",Jobs and Economic Development Initiative Act,Sections 61-401 to 61-405 shall be known and may be cited as the Jobs and Economic Development Initiative Act and may also be referred to as the JEDI Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=61-401
61-501,"Act, how cited.",Public Water and Natural Resources Project Contracting Act,Sections 61-501 to 61-520 shall be known and may be cited as the Public Water and Natural Resources Project Contracting Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=61-501
64-209,"Act, how cited.",Uniform Recognition of Acknowledgments Act,Sections 64-201 to 64-210 may be cited as the Uniform Recognition of Acknowledgments Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=64-209
64-301,"Act, how cited.",Electronic Notary Public Act,Sections 64-301 to 64-317 shall be known and may be cited as the Electronic Notary Public Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=64-301
64-401,"Act, how cited.",Online Notary Public Act,Sections 64-401 to 64-420 shall be known as the Online Notary Public Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=64-401
66-1330,"Act, how cited.",Ethanol Development Act,Sections 66-1330 to 66-1351 shall be known and may be cited as the Ethanol Development Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=66-1330
66-1401,"Act, how cited.",International Fuel Tax Agreement Act,Sections 66-1401 to 66-1428 shall be known and may be cited as the International Fuel Tax Agreement Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=66-1401
66-1501,"Act, how cited.",Petroleum Release Remedial Action Act,Sections 66-1501 to 66-1531 shall be known and may be cited as the Petroleum Release Remedial Action Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=66-1501
66-1601,"Act, how cited.",Propane Education and Research Act,Sections 66-1601 to 66-1627 shall be known and may be cited as the Propane Education and Research Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=66-1601
66-1801,"Act, how cited.",State Natural Gas Regulation Act,Sections 66-1801 to 66-1868 shall be known and may be cited as the State Natural Gas Regulation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=66-1801
66-201,"Act, how cited.",Nebraska Clean-burning Motor Fuel Development Act,Sections 66-201 to 66-204 shall be known and may be cited as the Nebraska Clean-burning Motor Fuel Development Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=66-201
66-2208,"E-15 Access Standard Act, how cited.",E-15 Access Standard Act,Sections 66-2208 to 66-2218 shall be known and may be cited as the E-15 Access Standard Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=66-2208
66-2302,"Act, how cited.",Nuclear and Hydrogen Development Act,Sections 66-2302 to 66-2308 shall be known and may be cited as the Nuclear and Hydrogen Development Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=66-2302
66-697,"Act, how cited.",Compressed Fuel Tax Act,"Sections 66-697 to 66-6,116 shall be known and may be cited as the Compressed Fuel Tax Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=66-697
67-296,"Act, how cited.",Nebraska Uniform Limited Partnership Act,"Sections 67-233 to 67-2,100 shall be known and may be cited as the Nebraska Uniform Limited Partnership Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=67-296
67-401,"Act, how cited.",Uniform Partnership Act of 1998,Sections 67-401 to 67-467 shall be known and may be cited as the Uniform Partnership Act of 1998.,https://nebraskalegislature.gov/laws/statutes.php?statute=67-401
68-1111,"Act, how cited.",Aging and Disability Resource Center Act,Sections 68-1111 to 68-1120 shall be known and may be cited as the Aging and Disability Resource Center Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-1111
68-1401,"Act, how cited.",Genetically Handicapped Persons Act,Sections 68-1401 to 68-1406 shall be known and may be cited as the Genetically Handicapped Persons Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-1401
68-1501,"Act, how cited.",Disabled Persons and Family Support Act,Sections 68-1501 to 68-1519 shall be known and may be cited as the Disabled Persons and Family Support Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-1501
68-1601,"Act, how cited.",Homeless Shelter Assistance Trust Fund Act,Sections 68-1601 to 68-1608 shall be known and may be cited as the Homeless Shelter Assistance Trust Fund Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-1601
68-1708,"Act, how cited.",Welfare Reform Act,03 shall be known and may be cited as the Welfare Reform Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-1708
68-1801,"Act, how cited.",ICF/DD Reimbursement Protection Act,Sections 68-1801 to 68-1809 shall be known and may be cited as the ICF/DD Reimbursement Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-1801
68-1901,"Act, how cited.",Nursing Facility Quality Assurance Assessment Act,Sections 68-1901 to 68-1930 shall be known and may be cited as the Nursing Facility Quality Assurance Assessment Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-1901
68-2001,"Act, how cited.",Children's Health and Treatment Act,Sections 68-2001 to 68-2005 shall be known and may be cited as the Children's Health and Treatment Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-2001
68-2101,"Act, how cited.",Hospital Quality Assurance and Access Assessment Act,Sections 68-2101 to 68-2109 shall be known and may be cited as the Hospital Quality Assurance and Access Assessment Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-2101
68-2201,"Act, how cited.",Medicaid Access and Quality Act,Sections 68-2201 to 68-2208 shall be known and may be cited as the Medicaid Access and Quality Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-2201
68-2301,"Act, how cited.",Family Home Visitation Act,Sections 68-2301 to 68-2309 shall be known and may be cited as the Family Home Visitation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-2301
68-901,"Medical Assistance Act; act, how cited.",Medical Assistance Act,"Sections 68-901 to 68-9,111 shall be known and may be cited as the Medical Assistance Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=68-901
68-934,"False Medicaid Claims Act; act, how cited.",False Medicaid Claims Act,Sections 68-934 to 68-947 shall be known and may be cited as the False Medicaid Claims Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-934
68-950,"Medicaid Prescription Drug Act, how cited.",Medicaid Prescription Drug Act,Sections 68-950 to 68-956 shall be known and may be cited as the Medicaid Prescription Drug Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-950
68-962,"Autism Treatment Program Act; act, how cited.",Autism Treatment Program Act,Sections 68-962 to 68-966 shall be known and may be cited as the Autism Treatment Program Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-962
68-977,"Ground Emergency Medical Transport Act; act, how cited.",Ground Emergency Medical Transport Act,Sections 68-977 to 68-988 shall be known and may be cited as the Ground Emergency Medical Transport Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=68-977
69-1329,"Act, how cited.",Uniform Disposition of Unclaimed Property Act,Sections 69-1301 to 69-1329 shall be known and may be cited as the Uniform Disposition of Unclaimed Property Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-1329
69-1801,"Act, how cited.",American Indian Arts and Crafts Sales Act,Sections 69-1801 to 69-1808 shall be known and may be cited as the American Indian Arts and Crafts Sales Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-1801
69-2001,"Act, how cited.",Degradable Products Act,Sections 69-2001 to 69-2012 shall be known and may be cited as the Degradable Products Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-2001
69-2101,"Act, how cited.",Consumer Rental Purchase Agreement Act,Sections 69-2101 to 69-2119 shall be known and may be cited as the Consumer Rental Purchase Agreement Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-2101
69-2301,"Act, how cited.",Disposition of Personal Property Landlord and Tenant Act,Sections 69-2301 to 69-2314 shall be known and may be cited as the Disposition of Personal Property Landlord and Tenant Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-2301
69-2427,"Act, how cited.",Concealed Handgun Permit Act,Sections 69-2427 to 69-2449 shall be known and may be cited as the Concealed Handgun Permit Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-2427
69-2501,"Act, how cited.",Plastic Container Coding Act,Sections 69-2501 to 69-2507 shall be known and may be cited as the Plastic Container Coding Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-2501
69-2601,"Act, how cited.",Assistive Technology Regulation Act,Sections 69-2601 to 69-2619 shall be known and may be cited as the Assistive Technology Regulation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-2601
69-301,"Act, how cited.",Mail Order Contact Lens Act,Sections 69-301 to 69-307 shall be known and may be cited as the Mail Order Contact Lens Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-301
69-308,"Act, how cited.",Consumer Protection in Eye Care Act,Sections 69-308 to 69-314 shall be known and may be cited as the Consumer Protection in Eye Care Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-308
69-501,"Act, how cited.",Reduced Cigarette Ignition Propensity Act,Sections 69-501 to 69-511 shall be known and may be cited as the Reduced Cigarette Ignition Propensity Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=69-501
70-1401,"Act, how cited.",Joint Public Power Authority Act,Sections 70-1401 to 70-1423 shall be known and may be cited as the Joint Public Power Authority Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=70-1401
70-1801,"Act, how cited.",Public Entities Mandated Project Charges Act,Sections 70-1801 to 70-1819 shall be known and may be cited as the Public Entities Mandated Project Charges Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=70-1801
70-1901,"Act, how cited.",Rural Community-Based Energy Development Act,Sections 70-1901 to 70-1909 shall be known and may be cited as the Rural Community-Based Energy Development Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=70-1901
70-2101,"Act, how cited.",Public Power Infrastructure Protection Act,Sections 70-2101 to 70-2105 shall be known and may be cited as the Public Power Infrastructure Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=70-2101
70-701,"Act, how cited.",Electric Cooperative Corporation Act,Sections 70-701 to 70-738 may be cited as the Electric Cooperative Corporation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=70-701
71-1101,"Act, how cited.",Developmental Disabilities Court-Ordered Custody Act,Sections 71-1101 to 71-1134 shall be known and may be cited as the Developmental Disabilities Court-Ordered Custody Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-1101
71-1201,"Act, how cited.",Sex Offender Commitment Act,01 shall be known and may be cited as the Sex Offender Commitment Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-1201
71-1355,"Act, how cited.",Cremation of Human Remains Act,Sections 71-1355 to 71-1385 shall be known and may be cited as the Cremation of Human Remains Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-1355
71-1555,"Act, how cited.",Nebraska Uniform Standards for Modular Housing Units Act,01 shall be known and may be cited as the Nebraska Uniform Standards for Modular Housing Units Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-1555
71-1572,"Act, how cited.",Nebraska Housing Agency Act,"Sections 71-1572 to 71-15,170 shall be known and may be cited as the Nebraska Housing Agency Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=71-1572
"71-17,101","Act, how cited.",Nursing Student Loan Act,"Sections 71-17,101 to 71-17,107 shall be known and may be cited as the Nursing Student Loan Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=71-17,101"
"71-17,108","Act, how cited.",Nursing Faculty Student Loan Act,"Sections 71-17,108 to 71-17,116 shall be known and may be cited as the Nursing Faculty Student Loan Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=71-17,108"
71-1796,"Act, how cited.",Nebraska Center for Nursing Act,Sections 71-1796 to 71-1799 shall be known and may be cited as the Nebraska Center for Nursing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-1796
71-1908,"Child Care Licensing Act; act, how cited; legislative findings.",Child Care Licensing Act,03 shall be known and may be cited as the Child Care Licensing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-1908
71-1924,"Children's Residential Facilities and Placing Licensure Act; act, how cited.",Children's Residential Facilities and Placing Licensure Act,Sections 71-1924 to 71-1951 shall be known and may be cited as the Children's Residential Facilities and Placing Licensure Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-1924
71-1952,"Step Up to Quality Child Care Act; act, how cited.",Step Up to Quality Child Care Act,Sections 71-1952 to 71-1964 shall be known and may be cited as the Step Up to Quality Child Care Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-1952
"71-20,102","Act, how cited.",Nonprofit Hospital Sale Act,"Sections 71-20,102 to 71-20,113 shall be known and may be cited as the Nonprofit Hospital Sale Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=71-20,102"
71-2001,"Act, how cited.",State Hospital Survey and Construction Act,Sections 71-2001 to 71-2016 may be cited as the State Hospital Survey and Construction Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2001
71-224,"Act, how cited.",Barber Act,Sections 71-201 to 71-261 shall be known and may be cited as the Barber Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-224
71-2301,"Act, how cited.",Nebraska Prostitution Intervention and Treatment Act,Sections 71-2301 to 71-2305 shall be known and may be cited as the Nebraska Prostitution Intervention and Treatment Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2301
"71-24,103","Nebraska Medical Cannabis Patient Protection Act, how cited.",Nebraska Medical Cannabis Patient Protection Act,"Sections 71-24,103 to 71-24,105 shall be known and may be cited as the Nebraska Medical Cannabis Patient Protection Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=71-24,103"
"71-24,106","Nebraska Medical Cannabis Regulation Act, how cited.",Nebraska Medical Cannabis Regulation Act,"Sections 71-24,106 to 71-24,111 shall be known and may be cited as the Nebraska Medical Cannabis Regulation Act.","https://nebraskalegislature.gov/laws/statutes.php?statute=71-24,106"
71-2406,"Mail Service Pharmacy Licensure Act; act, how cited.",Mail Service Pharmacy Licensure Act,Sections 71-2406 to 71-2409 shall be known and may be cited as the Mail Service Pharmacy Licensure Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2406
71-2410,"Emergency Box Drug Act; act, how cited.",Emergency Box Drug Act,Sections 71-2410 to 71-2417 shall be known and may be cited as the Emergency Box Drug Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2410
71-2422,"Cancer Drug Repository Program Act; act, how cited.",Cancer Drug Repository Program Act,Sections 71-2422 to 71-2430 shall be known and may be cited as the Cancer Drug Repository Program Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2422
71-2436,"Immunosuppressant Drug Repository Program Act; act, how cited.",Immunosuppressant Drug Repository Program Act,Sections 71-2436 to 71-2443 shall be known and may be cited as the Immunosuppressant Drug Repository Program Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2436
71-2444,"Automated Medication Systems Act; act, how cited.",Automated Medication Systems Act,Sections 71-2444 to 71-2452 shall be known and may be cited as the Automated Medication Systems Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2444
71-2457,"Prescription Drug Safety Act; act, how cited.",Prescription Drug Safety Act,Sections 71-2457 to 71-2483 shall be known and may be cited as the Prescription Drug Safety Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2457
71-2485,"Opioid Prevention and Treatment Act, how cited.",Opioid Prevention and Treatment Act,Sections 71-2485 to 71-2495 shall be known and may be cited as the Opioid Prevention and Treatment Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2485
71-2496,"Prescription Drug Donation Program Act, how cited.",Prescription Drug Donation Program Act,"Sections 71-2496 to 71-24,102 shall be known and may be cited as the Prescription Drug Donation Program Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=71-2496
71-2501.01,"Act, how cited.",Poison Control Act,Sections 71-2501 to 71-2512 shall be known and may be cited as the Poison Control Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2501.01
71-2513,"Act, how cited.",Childhood Lead Poisoning Prevention Act,Sections 71-2513 to 71-2517 shall be known and may be cited as the Childhood Lead Poisoning Prevention Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2513
71-2701,"Act, how cited.",Health Care Crisis Protocol Act,Sections 71-2701 to 71-2705 shall be known and may be cited as the Health Care Crisis Protocol Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-2701
71-3001,"Act, how cited.",Nebraska Mental Health First Aid Training Act,Sections 71-3001 to 71-3007 shall be known and may be cited as the Nebraska Mental Health First Aid Training Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3001
71-3404,"Child and Maternal Death Review Act, how cited; child deaths; stillbirths; maternal deaths and severe maternal morbidity; legislative findings and intent.",Child and Maternal Death Review Act,(1) Sections 71-3404 to 71-3411 shall be known and may be cited as the Child and Maternal Death Review Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3404
71-3412,"Domestic Abuse Death Review Act, how cited.",Domestic Abuse Death Review Act,Sections 71-3412 to 71-3421 shall be known and may be cited as the Domestic Abuse Death Review Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3412
71-3422,"Overdose Fatality Review Teams Act, how cited.",Overdose Fatality Review Teams Act,Sections 71-3422 to 71-3437 shall be known and may be cited as the Overdose Fatality Review Teams Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3422
71-3519,"Act, how cited.",Radiation Control Act,Sections 71-3501 to 71-3520 shall be known and may be cited as the Radiation Control Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3519
71-3601.01,"Act, how cited.",Tuberculosis Detection and Prevention Act,Sections 71-3601 to 71-3614 shall be known and may be cited as the Tuberculosis Detection and Prevention Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3601.01
71-3701,"Act, how cited.",Brain Injury Assistance Act,Sections 71-3701 to 71-3706 shall be known and may be cited as the Brain Injury Assistance Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3701
71-3801,"Act, how cited.",Kratom Consumer Protection Act,Sections 71-3801 to 71-3815 shall be known and may be cited as the Kratom Consumer Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3801
71-3901,"Act, how cited.",Indoor Tanning Facility Act,Sections 71-3901 to 71-3909 shall be known and may be cited as the Indoor Tanning Facility Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-3901
71-401,"Act, how cited.",Health Care Facility Licensure Act,Sections 71-401 to 71-479 shall be known and may be cited as the Health Care Facility Licensure Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-401
71-4101,"Act, how cited.",Down Syndrome Diagnosis Information and Support Act,Sections 71-4101 to 71-4104 shall be known and may be cited as the Down Syndrome Diagnosis Information and Support Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-4101
71-4201,"Act, how cited.",Stroke System of Care Act,Sections 71-4201 to 71-4210 shall be known and may be cited as the Stroke System of Care Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-4201
71-4601,"Act, how cited.",Uniform Standard Code for Manufactured Homes and Recreational Vehicles,01 shall be known and may be cited as the Uniform Standard Code for Manufactured Homes and Recreational Vehicles.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-4601
71-4734,"Act, how cited.",Infant Hearing Act,Sections 71-4734 to 71-4744 shall be known and may be cited as the Infant Hearing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=71-4734
